duration,id,riskTaking,statKnow,regretExAnte,regretExPost,bonus_payment,cond_beliefs_choice_order,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,whichFirst,choiceB,round,short,age,sex,student,df
1635,d844f56a45bb90aa15e81fa7,3,4,4,5,0.40,choice_first,1,1,45.5,9.1,45.4,45.5,9.1,45.4,7,A,1,2,0,32,Male,No,v5
805,e4582e4776d51ae378be07b6,3,3,5,4,1.12,choice_first,1,2,20,25,55,20,40,40,4,A,1,2,1,49,Female,No,v5
805,e4582e4776d51ae378be07b6,3,3,5,4,1.12,choice_first,2,2,50,40,10,30,60,10,5,B,1,1,0,49,Female,No,v5
618,e8478439f0a9d11d36523d72,1,1,4,5,0.00,beliefs_first,0,2,70,25,5,60,35,5,3,A,1,1,0,35,Female,No,v5
618,e8478439f0a9d11d36523d72,1,1,4,5,0.00,beliefs_first,1,2,30,50,20,35,45,20,2,A,1,2,1,35,Female,No,v5
851,ec2d21c0f2a6c55528774a50,4,4,3,3,0.00,beliefs_first,0,.5,20,30,50,25,25,50,4,B,1,1,1,34,Male,No,v5
851,ec2d21c0f2a6c55528774a50,4,4,3,3,0.00,beliefs_first,1.6,1.5,40,10,50,30,20,50,5,B,0,2,0,34,Male,No,v5
705,f3ed01b027c5ce4d1f5f88c2,2,3,3,3,1.32,choice_first,.6,.6,45,10,45,45,10,45,1,A,1,2,0,28,Female,DATA_EXPIRED,v5
705,f3ed01b027c5ce4d1f5f88c2,2,3,3,3,1.32,choice_first,.6,.6,45,10,45,45,10,45,1,B,0,1,1,28,Female,DATA_EXPIRED,v5
497,f52be4b38ac70f1eb7b9f471,2,3,4,5,0.00,beliefs_first,1,1,46,9,45,46,9,45,4,A,0,1,1,40,Male,No,v5
497,f52be4b38ac70f1eb7b9f471,2,3,4,5,0.00,beliefs_first,1,1,46,9,45,46,9,45,4,A,0,2,0,40,Male,No,v5
544,f553d1bc206fd8b36cefb5a8,2,2,5,5,1.60,choice_first,1.5,1.2,45,10,45,45,10,45,5,B,0,1,1,24,Male,Yes,v5
544,f553d1bc206fd8b36cefb5a8,2,2,5,5,1.60,choice_first,1.5,1.3,45,10,45,55,5,40,6,B,0,2,0,24,Male,Yes,v5
704,f75a5cd63fcd80af75488d2e,3,1,4,2,2.00,beliefs_first,1,.9,40,20,40,40,20,40,5,A,0,2,1,38,Male,No,v5
704,f75a5cd63fcd80af75488d2e,3,1,4,2,2.00,beliefs_first,1,.9,33,33,34,33,33,34,7,A,0,1,0,38,Male,No,v5
738,faaa320257ce75113b487842,3,1,3,4,0.00,beliefs_first,1.5,1.5,20,50,30,20,50,30,4,A,0,2,0,50,Female,No,v5
738,faaa320257ce75113b487842,3,1,3,4,0.00,beliefs_first,1,1,35,45,20,35,45,20,4,A,1,1,1,50,Female,No,v5
834,fea840aea6deb1414257608e,2,4,3,4,2.00,beliefs_first,.98,.98,49.1,1.8,49.1,49.1,1.8,49.1,1,A,0,1,0,40,Male,No,v5
834,fea840aea6deb1414257608e,2,4,3,4,2.00,beliefs_first,1,1,45.5,9,45.5,45.5,9,45.5,1,A,0,2,1,40,Male,No,v5
935,ffaef75eb38c5bea28251642,2,3,5,4,2.00,beliefs_first,1,1,33,34,33,33,34,33,4,B,1,1,1,31,Female,Yes,v5
935,ffaef75eb38c5bea28251642,2,3,5,4,2.00,beliefs_first,1,1,33,34,33,33,34,33,4,A,0,2,0,31,Female,Yes,v5
