duration,id,riskTaking,statKnow,regretExAnte,regretExPost,cond_presentation,cond_beliefs_choice_order,whichFirst,beliefA,beliefB,beliefA_below,beliefA_equal,beliefA_above,beliefB_below,beliefB_equal,beliefB_above,choiceStr,choiceB,round,short,age,sex,student,df
1916,46d17f825b121939c9103faf,3,4,3,4,sampling_noiseless,beliefs_first,B,2,1,35,35,30,30,30,40,4,1,1,1,53,Male,No,prereg
748,472e296b56b54f51f28fa451,4,4,4,2,sampling_noiseless,choice_first,A,.4,.5,60,20,20,50,25,25,4,1,2,1,28,Male,No,prereg
748,472e296b56b54f51f28fa451,4,4,4,2,sampling_noiseless,choice_first,A,.02,.039,98,0,2,98,0,2,3,1,1,0,28,Male,No,prereg
600,4799923188b77e2fac468893,4,2,4,4,description_noiseless,choice_first,A,.8,.6,60,10,30,70,10,20,5,0,1,1,40,Female,No,prereg
600,4799923188b77e2fac468893,4,2,4,4,description_noiseless,choice_first,B,1,.9,70,20,10,60,20,20,6,1,2,0,40,Female,No,prereg
882,47ad12233d2c19b3c67d78e5,4,3,2,2,description_noiseless,beliefs_first,A,1,1,50,10,40,50,10,40,4,0,2,1,28,Male,No,prereg
882,47ad12233d2c19b3c67d78e5,4,3,2,2,description_noiseless,beliefs_first,A,.4,.4,50,2,48,50,2,48,4,0,1,0,28,Male,No,prereg
399,47b02182b9ab40f7952614bc,4,3,3,4,description_noiseless,choice_first,B,2,2,0,0,100,0,0,100,5,1,1,0,21,Male,No,prereg
399,47b02182b9ab40f7952614bc,4,3,3,4,description_noiseless,choice_first,B,2,2,0,0,100,0,0,100,5,0,2,1,21,Male,No,prereg
582,47cf4effa6c3a005fc281817,4,3,4,2,sampling_noiseless,beliefs_first,B,1,1,49,2,49,49,2,49,2,1,2,1,42,Male,DATA_EXPIRED,prereg
582,47cf4effa6c3a005fc281817,4,3,4,2,sampling_noiseless,beliefs_first,B,1,1,49,2,49,49,2,49,2,1,1,0,42,Male,DATA_EXPIRED,prereg
508,47d6fbd17a055b0f6dcd279b,5,3,5,5,description_noiseless,choice_first,A,1,1,0,70,30,0,70,30,7,0,2,1,36,Male,No,prereg
508,47d6fbd17a055b0f6dcd279b,5,3,5,5,description_noiseless,choice_first,B,1.5,1.5,0,40,60,0,90,10,7,1,1,0,36,Male,No,prereg
691,48064ead740a5015fe0f6a8c,2,3,4,4,sampling_noiseless,beliefs_first,B,.95,.8,35,35,30,40,25,35,5,0,1,0,42,Male,No,prereg
691,48064ead740a5015fe0f6a8c,2,3,4,4,sampling_noiseless,beliefs_first,A,.8,1.2,40,10,50,30,20,50,7,1,2,1,42,Male,No,prereg
938,48202ab90a4e5e61252e6963,3,3,4,4,description_noiseless,choice_first,B,1,1,45,10,45,45,10,45,5,0,1,1,22,Female,No,prereg
938,48202ab90a4e5e61252e6963,3,3,4,4,description_noiseless,choice_first,B,1,1,49,2,49,49,2,49,5,0,2,0,22,Female,No,prereg
1297,4834889eeb81ffd0a7b135cb,4,3,5,5,sampling_noiseless,choice_first,B,.9,1.1,30,5,65,25,5,70,6,0,1,0,22,Female,DATA_EXPIRED,prereg
1297,4834889eeb81ffd0a7b135cb,4,3,5,5,sampling_noiseless,choice_first,B,1,.9,5,60,35,5,80,15,6,0,2,1,22,Female,DATA_EXPIRED,prereg
670,48757db1cf1a30380e80b1e4,3,3,3,2,description_noiseless,choice_first,B,1,1,49,2,49,49,2,49,1,0,2,0,50,Male,No,prereg
670,48757db1cf1a30380e80b1e4,3,3,3,2,description_noiseless,choice_first,B,1,1,45,10,45,45,10,45,1,0,1,1,50,Male,No,prereg
3880,48cdb23e6ff1a9c8e10e1447,3,3,5,5,description_noiseless,choice_first,A,2,2,25,25,50,25,50,25,5,1,1,0,50,Female,No,prereg
3880,48cdb23e6ff1a9c8e10e1447,3,3,5,5,description_noiseless,choice_first,A,2,1,0,50,50,50,25,25,4,0,2,1,50,Female,No,prereg
519,494d8d162eb6bb6dfe800c83,4,1,2,2,description_noiseless,beliefs_first,A,2,2,45,10,45,10,10,80,7,1,1,1,44,Female,No,prereg
519,494d8d162eb6bb6dfe800c83,4,1,2,2,description_noiseless,beliefs_first,B,1,1,45,10,45,20,40,40,6,1,2,0,44,Female,No,prereg
440,49505e3df1b6e35981068068,4,4,5,5,sampling_noiseless,beliefs_first,B,1,1.2,40,20,40,42,13,45,5,1,2,1,23,Male,Yes,prereg
440,49505e3df1b6e35981068068,4,4,5,5,sampling_noiseless,beliefs_first,A,.5,.54,50,2,48,48,2,50,7,1,1,0,23,Male,Yes,prereg
932,4969a219a8f39286390dba35,3,1,4,4,description_noiseless,choice_first,B,1,1,45,10,45,45,10,45,1,0,1,1,42,Male,No,prereg
932,4969a219a8f39286390dba35,3,1,4,4,description_noiseless,choice_first,B,1,1,45,10,45,45,10,45,2,0,2,0,42,Male,No,prereg
481,497c74f9b7c8138b8d4c58ef,3,3,4,3,description_noiseless,beliefs_first,A,.95,.9,49,2,49,48,2,50,6,0,2,0,38,Female,Yes,prereg
481,497c74f9b7c8138b8d4c58ef,3,3,4,3,description_noiseless,beliefs_first,B,1.12,1,40,10,50,52,10,38,6,0,1,1,38,Female,Yes,prereg
488,498662dfb2b341b920b6c3ba,3,2,5,5,sampling_noiseless,choice_first,A,1,1.5,20,60,20,60,20,20,7,0,1,0,39,Male,DATA_EXPIRED,prereg
488,498662dfb2b341b920b6c3ba,3,2,5,5,sampling_noiseless,choice_first,B,.5,1.5,80,15,5,10,60,30,7,1,2,1,39,Male,DATA_EXPIRED,prereg
1737,4a0d3b263f78a4fc280ae181,4,3,5,4,description_noiseless,beliefs_first,A,2,.25,20,25,55,55,20,25,7,0,1,0,29,Male,DATA_EXPIRED,prereg
1737,4a0d3b263f78a4fc280ae181,4,3,5,4,description_noiseless,beliefs_first,A,1.75,1,30,20,50,40,50,10,5,0,2,1,29,Male,DATA_EXPIRED,prereg
650,4a92114ed22542b8a2a9a933,4,4,5,5,sampling_noiseless,choice_first,A,1.1,1,36,9,55,45,0,55,6,1,2,1,31,Male,DATA_EXPIRED,prereg
650,4a92114ed22542b8a2a9a933,4,4,5,5,sampling_noiseless,choice_first,B,1.06,1.1,48,5,47,50,5,45,7,1,1,0,31,Male,DATA_EXPIRED,prereg
1341,4a9699084ed37eea5c1ab3dc,4,4,5,4,description_noiseless,choice_first,A,1,1,49,2,49,49,2,49,4,0,2,1,26,Male,Yes,prereg
1341,4a9699084ed37eea5c1ab3dc,4,4,5,4,description_noiseless,choice_first,A,1,.8,49,2,49,48,2,50,7,0,1,0,26,Male,Yes,prereg
472,4aa6ed4c95cc495939c03a7c,4,2,5,4,sampling_noiseless,choice_first,B,1.3,1.26,50,0,50,50,0,50,2,1,1,0,22,Male,Yes,prereg
472,4aa6ed4c95cc495939c03a7c,4,2,5,4,sampling_noiseless,choice_first,A,1.4,1.6,30,0,70,30,0,70,7,1,2,1,22,Male,Yes,prereg
585,4b5bb459863ed4f8a463d188,3,2,3,3,sampling_noiseless,beliefs_first,B,1,.5,45,5,50,60,5,35,5,0,1,1,32,Male,No,prereg
585,4b5bb459863ed4f8a463d188,3,2,3,3,sampling_noiseless,beliefs_first,A,.5,1,90,0,10,60,5,35,7,1,2,0,32,Male,No,prereg
1173,4b6e548f909dd13af8124e9d,2,2,3,2,sampling_noiseless,choice_first,A,1,1,25,50,25,25,50,25,6,0,2,0,31,Male,No,prereg
1173,4b6e548f909dd13af8124e9d,2,2,3,2,sampling_noiseless,choice_first,B,1,1.2,25,50,25,25,25,50,6,1,1,1,31,Male,No,prereg
388,4bcbda08c2622ab4b63f5640,3,2,3,4,sampling_noiseless,beliefs_first,A,.7,.9,60,30,10,40,55,5,6,1,1,1,31,Male,No,prereg
388,4bcbda08c2622ab4b63f5640,3,2,3,4,sampling_noiseless,beliefs_first,B,.8,.84,60,5,35,60,5,35,5,1,2,0,31,Male,No,prereg
534,4c641e4294ee8284c62e3638,2,2,3,3,description_noiseless,beliefs_first,A,2,1,0,25,75,75,25,0,4,0,2,1,51,Female,No,prereg
534,4c641e4294ee8284c62e3638,2,2,3,3,description_noiseless,beliefs_first,A,1,1,0,50,50,50,50,0,4,0,1,0,51,Female,No,prereg
776,4cef3136366f40f4d874a1ce,3,1,2,4,description_noiseless,beliefs_first,A,1,1,25,50,25,25,50,25,7,0,1,0,42,Female,No,prereg
776,4cef3136366f40f4d874a1ce,3,1,2,4,description_noiseless,beliefs_first,A,1,1,25,50,25,25,50,25,7,0,2,1,42,Female,No,prereg
633,4d141138dd0ccadb7213ec98,4,2,4,4,description_noiseless,beliefs_first,A,1,1,49,2,49,49,2,49,5,1,1,0,46,Male,No,prereg
633,4d141138dd0ccadb7213ec98,4,2,4,4,description_noiseless,beliefs_first,B,1,1,49,2,49,49,2,49,5,1,2,1,46,Male,No,prereg
935,4d2bbd0bb056c882833eb82c,2,1,3,5,sampling_noiseless,beliefs_first,B,1.04,1,49,49,2,49,49,2,7,1,1,0,32,Male,No,prereg
935,4d2bbd0bb056c882833eb82c,2,1,3,5,sampling_noiseless,beliefs_first,B,.8,1,48,48,4,48,48,4,7,1,2,1,32,Male,No,prereg
787,4d6698dfbd712178f94ea085,5,4,4,5,sampling_noiseless,beliefs_first,A,.9,1.2,80,10,10,20,10,70,6,1,1,1,55,Male,DATA_EXPIRED,prereg
787,4d6698dfbd712178f94ea085,5,4,4,5,sampling_noiseless,beliefs_first,A,1.1,1.2,40,10,50,40,10,50,6,1,2,0,55,Male,DATA_EXPIRED,prereg
1315,4d954a4e12b13e6c1d3ccbb0,4,4,3,3,description_noiseless,choice_first,B,1,1,45,10,45,45,10,45,4,0,2,1,34,Female,DATA_EXPIRED,prereg
1315,4d954a4e12b13e6c1d3ccbb0,4,4,3,3,description_noiseless,choice_first,B,1,1,49,2,49,49,2,49,4,1,1,0,34,Female,DATA_EXPIRED,prereg
1056,4da429c79ac821b051c85366,3,4,5,4,sampling_noiseless,choice_first,A,1.02,1.04,47,5,48,48,5,47,6,1,2,0,25,Male,Yes,prereg
1056,4da429c79ac821b051c85366,3,4,5,4,sampling_noiseless,choice_first,B,1.45,1.6,48,5,47,20,5,75,6,1,1,1,25,Male,Yes,prereg
983,4e22ab8068f3883fe10b07f0,3,3,4,4,description_noiseless,beliefs_first,B,1,.9,45.5,9,45.5,47,9,44,7,0,2,1,55,Male,No,prereg
983,4e22ab8068f3883fe10b07f0,3,3,4,4,description_noiseless,beliefs_first,A,1,.96,49.1,1.8,49.1,50.4,1.6,48,7,0,1,0,55,Male,No,prereg
805,4e6fce9fb276958dc6c5a510,4,3,4,4,description_noiseless,choice_first,B,1.1,1,45,35,20,40,35,25,5,0,1,0,29,Female,DATA_EXPIRED,prereg
805,4e6fce9fb276958dc6c5a510,4,3,4,4,description_noiseless,choice_first,B,1,.9,40,20,40,35,20,45,3,0,2,1,29,Female,DATA_EXPIRED,prereg
386,4eda5a15e5ecd009b191b0dc,2,2,5,4,description_noiseless,beliefs_first,B,.5,.5,45,10,45,45,10,45,3,0,2,1,38,Male,No,prereg
386,4eda5a15e5ecd009b191b0dc,2,2,5,4,description_noiseless,beliefs_first,B,1,1,45,10,45,45,10,45,4,1,1,0,38,Male,No,prereg
906,4eea2ef42e4fd516af6e6f06,5,3,4,5,sampling_noiseless,beliefs_first,B,1.2,1.5,40,20,40,20,10,70,6,1,1,1,24,Male,Yes,prereg
906,4eea2ef42e4fd516af6e6f06,5,3,4,5,sampling_noiseless,beliefs_first,A,1.4,1.5,30,10,60,20,10,70,7,1,2,0,24,Male,Yes,prereg
572,4efa37a8f93ff387a585bdb6,4,1,4,4,description_noiseless,choice_first,B,1,1.5,40,40,20,20,20,60,6,0,1,0,43,Female,No,prereg
572,4efa37a8f93ff387a585bdb6,4,1,4,4,description_noiseless,choice_first,B,.8,1.2,40,30,30,20,30,50,6,1,2,1,43,Female,No,prereg
500,4f1a1fcd5a85493d514a40f8,2,4,4,3,description_noiseless,beliefs_first,B,1,1.12,41,9,50,45,10,45,7,1,1,1,37,Male,DATA_EXPIRED,prereg
500,4f1a1fcd5a85493d514a40f8,2,4,4,3,description_noiseless,beliefs_first,B,1,1.1,45,10,45,45,10,45,7,1,2,0,37,Male,DATA_EXPIRED,prereg
641,4f2fd2d6df30e8ca39b261ab,3,3,3,4,sampling_noiseless,choice_first,A,.8,1,40,1,59,40,1,59,6,1,2,1,18,Male,DATA_EXPIRED,prereg
641,4f2fd2d6df30e8ca39b261ab,3,3,3,4,sampling_noiseless,choice_first,B,.55,.7,60,1,39,45,1,54,6,1,1,0,18,Male,DATA_EXPIRED,prereg
543,4f8cf2c6592cf99f638494ff,4,4,5,5,sampling_noiseless,beliefs_first,A,.7,1.3,25,10,65,25,10,65,6,1,1,1,31,Male,No,prereg
543,4f8cf2c6592cf99f638494ff,4,4,5,5,sampling_noiseless,beliefs_first,A,.9,1.1,25,2,73,30,1,69,7,1,2,0,31,Male,No,prereg
925,4fa0ac6f64aff8748a03e495,2,1,2,1,description_noiseless,choice_first,A,1.3,1.98,50,20,30,20,60,20,5,1,2,0,51,Female,No,prereg
925,4fa0ac6f64aff8748a03e495,2,1,2,1,description_noiseless,choice_first,B,1.5,2,33,34,33,33,33,34,6,1,1,1,51,Female,No,prereg
383,4fa6e560dc9182f813a712d3,1,3,3,3,description_noiseless,choice_first,A,2,.5,80,10,10,40,25,35,4,1,2,1,32,Female,DATA_EXPIRED,prereg
383,4fa6e560dc9182f813a712d3,1,3,3,3,description_noiseless,choice_first,B,2,1,40,20,40,40,40,20,5,0,1,0,32,Female,DATA_EXPIRED,prereg
2085,4fd7f81dd9ce6d7271157ad3,4,2,4,4,sampling_noiseless,beliefs_first,B,1.16,1.2,33,33,34,33,33,34,7,1,1,0,36,Female,No,prereg
2085,4fd7f81dd9ce6d7271157ad3,4,2,4,4,sampling_noiseless,beliefs_first,A,1.3,1.5,33,33,34,33,33,34,6,1,2,1,36,Female,No,prereg
1270,50859abb7625349fc97972ea,2,4,5,5,description_noiseless,choice_first,B,1,.85,49,2,49,49,2,49,5,0,2,0,28,Male,No,prereg
1270,50859abb7625349fc97972ea,2,4,5,5,description_noiseless,choice_first,A,1,.82,45.5,9,45.5,45.5,9,45.5,5,0,1,1,28,Male,No,prereg
778,50c54d91914703048efe56dc,1,1,5,5,description_noiseless,choice_first,B,1.57,2,40,10,50,40,5,55,7,0,2,1,32,Male,No,prereg
778,50c54d91914703048efe56dc,1,1,5,5,description_noiseless,choice_first,A,1.25,1.5,49.9,.2,49.9,49.9,.2,49.9,6,1,1,0,32,Male,No,prereg
565,50f1f3218b639fd30e00bb6a,2,3,4,4,sampling_noiseless,choice_first,A,1,1.2,60,10,30,50,0,50,6,1,2,1,23,Female,No,prereg
565,50f1f3218b639fd30e00bb6a,2,3,4,4,sampling_noiseless,choice_first,B,.9,1,60,10,30,40,10,50,5,1,1,0,23,Female,No,prereg
1437,5136a806f076a3fc6f435a55,4,3,4,4,sampling_noiseless,beliefs_first,A,1,1.04,63,2,35,60,2,38,7,1,1,0,28,Female,No,prereg
1437,5136a806f076a3fc6f435a55,4,3,4,4,sampling_noiseless,beliefs_first,A,1,1.2,40,5,55,40,5,55,6,1,2,1,28,Female,No,prereg
1247,520d12815152e2d4ed129f3c,2,2,4,4,sampling_noiseless,choice_first,B,.7,.9,50,5,45,45,5,50,6,1,2,1,31,Male,DATA_EXPIRED,prereg
1247,520d12815152e2d4ed129f3c,2,2,4,4,sampling_noiseless,choice_first,B,1,1.04,25,10,65,23,10,67,6,1,1,0,31,Male,DATA_EXPIRED,prereg
710,521ff10d4e7bacc5a1b2bdaa,2,2,4,4,description_noiseless,choice_first,A,1,1,49,2,49,49,2,49,1,0,2,1,53,Female,No,prereg
710,521ff10d4e7bacc5a1b2bdaa,2,2,4,4,description_noiseless,choice_first,A,1,1,49,2,49,49,2,49,1,0,1,0,53,Female,No,prereg
1116,5266767a88a45f1bad49864c,3,2,4,4,sampling_noiseless,choice_first,A,1.4,1.6,10,30,60,10,30,60,6,1,1,1,52,Female,No,prereg
1116,5266767a88a45f1bad49864c,3,2,4,4,sampling_noiseless,choice_first,A,1,1.1,50,10,40,50,10,40,7,1,2,0,52,Female,No,prereg
1399,5280565573e62a36f8ddda96,2,3,4,5,description_noiseless,beliefs_first,B,.75,1,49,2,49,58,2,40,7,0,1,0,22,Female,Yes,prereg
1399,5280565573e62a36f8ddda96,2,3,4,5,description_noiseless,beliefs_first,B,1,1,49,2,49,49,2,49,1,1,2,1,22,Female,Yes,prereg
242,52a73d79869ceae8c93140e3,4,3,4,4,description_noiseless,beliefs_first,A,1,1,45,23,32,45,13,42,6,0,1,0,34,Male,DATA_EXPIRED,prereg
242,52a73d79869ceae8c93140e3,4,3,4,4,description_noiseless,beliefs_first,B,1,1,45,23,32,45,13,42,5,0,2,1,34,Male,DATA_EXPIRED,prereg
729,52c049e13ae25030c3269e33,3,3,2,4,sampling_noiseless,choice_first,A,1,1.4,35,5,60,25,10,65,6,1,1,1,39,Male,No,prereg
729,52c049e13ae25030c3269e33,3,3,2,4,sampling_noiseless,choice_first,B,.8,1.1,40,0,60,35,5,60,6,1,2,0,39,Male,No,prereg
1157,537e77e0b53446da688a8734,3,3,4,4,sampling_noiseless,choice_first,A,1,.9,48,4,48,48,4,48,6,1,1,1,45,Male,No,prereg
1157,537e77e0b53446da688a8734,3,3,4,4,sampling_noiseless,choice_first,B,1,1,54,4,42,52,4,44,5,1,2,0,45,Male,No,prereg
548,53fd30b921af44b44278d9df,2,1,5,5,sampling_noiseless,beliefs_first,A,1,1,40,30,30,30,20,50,6,1,2,0,49,Female,DATA_EXPIRED,prereg
548,53fd30b921af44b44278d9df,2,1,5,5,sampling_noiseless,beliefs_first,B,1,2,60,20,20,40,20,40,6,1,1,1,49,Female,DATA_EXPIRED,prereg
944,54cd68e20155f588ee9c38e7,3,3,4,5,sampling_noiseless,beliefs_first,B,1,1,30,5,65,25,5,70,5,1,2,1,39,Female,Yes,prereg
944,54cd68e20155f588ee9c38e7,3,3,4,5,sampling_noiseless,beliefs_first,B,1,1,55,5,40,40,5,55,5,1,1,0,39,Female,Yes,prereg
1248,54dcf6ed181883125a852f0f,2,1,5,5,description_noiseless,choice_first,A,1,1,40,20,40,35,20,45,4,0,2,0,61,Female,No,prereg
1248,54dcf6ed181883125a852f0f,2,1,5,5,description_noiseless,choice_first,B,1.1,1,10,20,70,15,20,65,4,1,1,1,61,Female,No,prereg
686,54dfb750584dec786d1e176e,4,3,4,4,description_noiseless,choice_first,B,1,.8,60,10,30,70,10,20,1,0,2,1,40,Female,DATA_EXPIRED,prereg
686,54dfb750584dec786d1e176e,4,3,4,4,description_noiseless,choice_first,A,1,.8,70,10,20,80,10,10,1,0,1,0,40,Female,DATA_EXPIRED,prereg
755,550d6aea725b07599465133f,2,4,4,2,sampling_noiseless,choice_first,B,1,1,55,1,44,44,1,55,3,1,2,1,41,Female,DATA_EXPIRED,prereg
755,550d6aea725b07599465133f,2,4,4,2,sampling_noiseless,choice_first,A,.75,.75,80,1,19,75,1,24,3,1,1,0,41,Female,DATA_EXPIRED,prereg
713,55a6c66c5dbc38135e577aa0,4,2,4,4,description_noiseless,beliefs_first,B,1.5,.75,50,1,49,49,1,50,5,1,1,1,55,Female,DATA_EXPIRED,prereg
713,55a6c66c5dbc38135e577aa0,4,2,4,4,description_noiseless,beliefs_first,B,.75,.75,40,2,58,58,2,40,5,0,2,0,55,Female,DATA_EXPIRED,prereg
888,55afbefb2d0aa9a42a140c5e,3,3,4,3,sampling_noiseless,beliefs_first,A,1,1,45,9,46,45,9,46,2,1,1,1,22,Male,Yes,prereg
888,55afbefb2d0aa9a42a140c5e,3,3,4,3,sampling_noiseless,beliefs_first,B,1,1,49,2,49,49,2,49,2,1,2,0,22,Male,Yes,prereg
947,55fd5cced7cdf19f9c908cf0,3,2,4,3,sampling_noiseless,beliefs_first,A,.5,1.5,65,10,25,40,15,45,7,1,2,1,23,Female,No,prereg
947,55fd5cced7cdf19f9c908cf0,3,2,4,3,sampling_noiseless,beliefs_first,B,.6,1.4,70,10,20,55,10,35,7,1,1,0,23,Female,No,prereg
861,5667ea1fcc60783c00029dc7,4,4,2,5,description_noiseless,choice_first,A,1.7,1.5,2,18,80,2,8,90,5,0,2,0,28,Female,No,prereg
861,5667ea1fcc60783c00029dc7,4,4,2,5,description_noiseless,choice_first,B,1,1.25,80,10,10,10,10,80,5,1,1,1,28,Female,No,prereg
670,569f2d98edee783960fcc8ff,2,1,3,3,description_noiseless,beliefs_first,A,.9,.9,50,50,0,50,50,0,4,1,1,1,46,Female,DATA_EXPIRED,prereg
670,569f2d98edee783960fcc8ff,2,1,3,3,description_noiseless,beliefs_first,B,1.3,1.3,50,50,0,50,50,0,5,1,2,0,46,Female,DATA_EXPIRED,prereg
542,575a6a86284e9be75adfa60b,2,2,4,4,description_noiseless,choice_first,A,1.5,2,9,1,90,4,1,95,7,1,2,0,24,Male,No,prereg
542,575a6a86284e9be75adfa60b,2,2,4,4,description_noiseless,choice_first,A,.4,1,80,12,8,60,10,30,7,1,1,1,24,Male,No,prereg
615,5788dc7d7edf6bb30b220150,2,3,4,4,sampling_noiseless,choice_first,A,1.2,.75,50,20,30,60,20,20,5,0,1,1,65,Male,No,prereg
615,5788dc7d7edf6bb30b220150,2,3,4,4,sampling_noiseless,choice_first,A,1.3,.8,60,20,20,20,20,60,7,1,2,0,65,Male,No,prereg
776,5799e245e04fa72f5778f205,5,4,5,4,sampling_noiseless,choice_first,A,.7,1.4,55,0,45,10,3,87,7,1,2,0,22,Male,Yes,prereg
776,5799e245e04fa72f5778f205,5,4,5,4,sampling_noiseless,choice_first,A,.4,1.2,60,0,40,30,5,65,6,1,1,1,22,Male,Yes,prereg
1247,57d308623ba3394327089359,2,2,3,2,sampling_noiseless,choice_first,A,2,2,25,25,50,25,25,50,6,0,1,0,58,Female,No,prereg
1247,57d308623ba3394327089359,2,2,3,2,sampling_noiseless,choice_first,B,2,2,91,0,9,9,0,91,5,0,2,1,58,Female,No,prereg
683,5826192f8e4db2c6d022929d,4,2,5,4,sampling_noiseless,choice_first,B,1,1.78,50,2,48,48,1,51,7,1,1,0,36,Male,No,prereg
683,5826192f8e4db2c6d022929d,4,2,5,4,sampling_noiseless,choice_first,A,1.8,1.9,30,2,68,21,1,78,7,1,2,1,36,Male,No,prereg
644,5899f5fa71671741c0c4bc23,2,2,5,5,description_noiseless,beliefs_first,A,1.5,1,0,25,75,25,50,25,6,0,1,0,29,Female,No,prereg
644,5899f5fa71671741c0c4bc23,2,2,5,5,description_noiseless,beliefs_first,B,1.2,1.6,60,0,40,30,0,70,3,1,2,1,29,Female,No,prereg
512,58cf223b344a85a2765b539a,4,3,3,3,description_noiseless,choice_first,A,2,2,50,0,50,51,0,49,5,1,1,0,52,Female,No,prereg
512,58cf223b344a85a2765b539a,4,3,3,3,description_noiseless,choice_first,B,1,1,49,1,50,50,1,49,5,0,2,1,52,Female,No,prereg
574,593224192e20c427599ba6f8,3,3,4,3,sampling_noiseless,choice_first,B,.75,1,60,5,35,70,5,25,5,0,1,0,40,Male,DATA_EXPIRED,prereg
574,593224192e20c427599ba6f8,3,3,4,3,sampling_noiseless,choice_first,B,.8,1.2,80,0,20,20,0,80,7,1,2,1,40,Male,DATA_EXPIRED,prereg
589,5983c0660fd20a18f7ecd9a6,3,2,3,2,description_noiseless,choice_first,A,1,1,44,12,44,45,17,38,7,0,2,0,33,Female,No,prereg
589,5983c0660fd20a18f7ecd9a6,3,2,3,2,description_noiseless,choice_first,A,1,1,46,8,46,50,10,40,7,0,1,1,33,Female,No,prereg
1676,5a6af92785df6cf8fdbdd59b,2,2,5,5,description_noiseless,beliefs_first,B,1.13,1,30,10,60,25,50,25,7,0,1,1,42,Male,No,prereg
1676,5a6af92785df6cf8fdbdd59b,2,2,5,5,description_noiseless,beliefs_first,A,1.02,.85,49,2,49,51,2,47,7,0,2,0,42,Male,No,prereg
723,5a734650bb5ad682378e3d2c,2,3,4,4,description_noiseless,choice_first,A,1,1.1,45,10,45,45,10,45,5,0,2,0,32,Female,No,prereg
723,5a734650bb5ad682378e3d2c,2,3,4,4,description_noiseless,choice_first,A,1,1.1,45,10,45,45,10,45,6,0,1,1,32,Female,No,prereg
638,5aafbdac138b4a601f6db3f9,4,4,2,2,sampling_noiseless,beliefs_first,A,1,1,0,100,0,0,100,0,4,0,2,1,23,Male,DATA_EXPIRED,prereg
638,5aafbdac138b4a601f6db3f9,4,4,2,2,sampling_noiseless,beliefs_first,A,.98,1.02,50,1,49,49,1,50,5,1,1,0,23,Male,DATA_EXPIRED,prereg
1489,5aeaec56504992211033337a,4,4,3,4,sampling_noiseless,beliefs_first,A,1,1,0,100,0,0,100,0,1,0,2,0,34,Male,DATA_EXPIRED,prereg
1489,5aeaec56504992211033337a,4,4,3,4,sampling_noiseless,beliefs_first,B,.4,1.8,50,20,30,10,30,60,6,1,1,1,34,Male,DATA_EXPIRED,prereg
695,5af6c948a51d9f9b6ff31eef,3,2,5,5,sampling_noiseless,beliefs_first,B,.6,1.4,90,10,0,90,10,0,4,1,1,1,23,Female,No,prereg
695,5af6c948a51d9f9b6ff31eef,3,2,5,5,sampling_noiseless,beliefs_first,A,1,1,98,0,2,100,0,0,1,1,2,0,23,Female,No,prereg
377,5bb9ee22ffc6bfababfc094d,3,4,3,3,sampling_noiseless,choice_first,A,.88,.84,30,40,30,30,40,30,6,1,2,0,30,Female,No,prereg
377,5bb9ee22ffc6bfababfc094d,3,4,3,3,sampling_noiseless,choice_first,B,.4,1,90,10,0,40,30,30,4,1,1,1,30,Female,No,prereg
761,5bbe5eec36454ee4180b347e,4,5,4,4,description_noiseless,beliefs_first,A,1,1,49,2,49,49,2,49,1,0,1,0,23,Male,No,prereg
761,5bbe5eec36454ee4180b347e,4,5,4,4,description_noiseless,beliefs_first,A,1,1,50,10,40,40,10,50,1,0,2,1,23,Male,No,prereg
986,5bc6f1f8784b192400cb45a5,2,1,4,4,sampling_noiseless,choice_first,A,1.4,1.2,59,1,40,45,1,54,6,1,2,1,58,Female,No,prereg
986,5bc6f1f8784b192400cb45a5,2,1,4,4,sampling_noiseless,choice_first,A,1.04,1.08,49,1,50,45,1,54,6,1,1,0,58,Female,No,prereg
1238,5bce7d70226b221098c1f078,2,2,5,5,description_noiseless,beliefs_first,A,1,1,40,10,50,45,10,45,4,1,2,0,40,Male,No,prereg
1238,5bce7d70226b221098c1f078,2,2,5,5,description_noiseless,beliefs_first,B,1,1.25,45,10,45,40,10,50,5,1,1,1,40,Male,No,prereg
555,5bf3808840c6a2c88e7918be,4,3,4,4,description_noiseless,beliefs_first,B,1.01,.99,49.5,1,49.5,49.5,1,49.5,4,1,1,0,22,Male,Yes,prereg
555,5bf3808840c6a2c88e7918be,4,3,4,4,description_noiseless,beliefs_first,A,1,1,45.5,9,45.5,45.5,9,45.5,4,1,2,1,22,Male,Yes,prereg
852,5c080b115ea001dbefc8051d,4,2,4,2,sampling_noiseless,beliefs_first,B,1,1.2,50,0,50,50,0,50,4,1,1,1,59,Male,No,prereg
852,5c080b115ea001dbefc8051d,4,2,4,2,sampling_noiseless,beliefs_first,A,1,1.04,50,0,50,50,0,50,5,1,2,0,59,Male,No,prereg
711,5c5ba186a41579ad56bd8c86,4,2,2,2,sampling_noiseless,beliefs_first,B,.8,.72,85,0,15,70,0,30,4,1,2,1,28,Male,No,prereg
711,5c5ba186a41579ad56bd8c86,4,2,2,2,sampling_noiseless,beliefs_first,A,1.7,1.56,10,1,89,5,2,93,6,1,1,0,28,Male,No,prereg
830,5c988f64541bdf7ffa8129a0,3,2,4,2,sampling_noiseless,choice_first,B,1.1,.9,70,10,20,40,10,50,6,1,2,1,24,Female,DATA_EXPIRED,prereg
